%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1
1503852814171800206,sensor data,2,1,1,19067,14060
1503852814192327015,sensor data,2,1,1,19040,14055
1503852814212298046,sensor data,2,1,1,19053,14049
1503852814232005693,sensor data,2,1,1,19061,14050
1503852814252392018,sensor data,2,1,1,19057,14058
1503852814272308611,sensor data,2,1,1,19058,14048
1503852814292220957,sensor data,2,1,1,19060,14046
1503852814312403904,sensor data,2,1,1,19044,14049
1503852814332381889,sensor data,2,1,1,19052,14041
1503852814352033663,sensor data,2,1,1,19058,14051
1503852814372168462,sensor data,2,1,1,19054,14046
1503852814392463025,sensor data,2,1,1,19048,14045
1503852814412127361,sensor data,2,1,1,19060,14053
1503852814433115581,sensor data,2,1,1,19053,14049
1503852814452508792,sensor data,2,1,1,19063,14052
1503852814472676470,sensor data,2,1,1,19052,14041
1503852814492452606,sensor data,2,1,1,19040,14054
1503852814512636547,sensor data,2,1,1,19042,14043
1503852814532129307,sensor data,2,1,1,19049,14051
1503852814551782339,sensor data,2,1,1,19041,14049
1503852814572340408,sensor data,2,1,1,19053,14047
1503852814591939559,sensor data,2,1,1,19040,14056
1503852814611743283,sensor data,2,1,1,19048,14051
1503852814631748751,sensor data,2,1,1,19064,14049
1503852814652316955,sensor data,2,1,1,19056,14047
1503852814671895015,sensor data,2,1,1,19056,14053
1503852814692798695,sensor data,2,1,1,19047,14044
1503852814711784266,sensor data,2,1,1,19058,14050
1503852814731881632,sensor data,2,1,1,19054,14055
1503852814751977406,sensor data,2,1,1,19060,14053
1503852814772015655,sensor data,2,1,1,19043,14052
1503852814792219239,sensor data,2,1,1,19066,14044
1503852814811705473,sensor data,2,1,1,19064,14043
1503852814831661082,sensor data,2,1,1,19058,14054
1503852814852053878,sensor data,2,1,1,19052,14047
1503852814871885767,sensor data,2,1,1,19067,14047
1503852814892326671,sensor data,2,1,1,19037,14050
1503852814911920070,sensor data,2,1,1,19062,14045
1503852814931900703,sensor data,2,1,1,19041,14049
1503852814952207947,sensor data,2,1,1,19065,14047
1503852814973004264,sensor data,2,1,1,19053,14064
1503852814992373283,sensor data,2,1,1,19063,14046
1503852815012175362,sensor data,2,1,1,19046,14048
1503852815032278889,sensor data,2,1,1,19063,14051
1503852815052017387,sensor data,2,1,1,19053,14047
1503852815071938616,sensor data,2,1,1,19052,14051
1503852815091906365,sensor data,2,1,1,19048,14052
1503852815111582259,sensor data,2,1,1,19066,14052
1503852815131715864,sensor data,2,1,1,19052,14047
1503852815151738386,sensor data,2,1,1,19043,14054
1503852815172054384,sensor data,2,1,1,19047,14055
1503852815192811357,sensor data,2,1,1,19064,14044
1503852815212085070,sensor data,2,1,1,19057,14050
1503852815232350883,sensor data,2,1,1,19059,14050
1503852815252577466,sensor data,2,1,1,19048,14057
1503852815272497230,sensor data,2,1,1,19054,14057
1503852815291874661,sensor data,2,1,1,19062,14056
1503852815312507564,sensor data,2,1,1,19053,14041
1503852815331732799,sensor data,2,1,1,19070,14048
1503852815352622221,sensor data,2,1,1,19047,14045
1503852815371930557,sensor data,2,1,1,19053,14073
1503852815391990161,sensor data,2,1,1,19062,14051
1503852815412443533,sensor data,2,1,1,19053,14054
1503852815431952751,sensor data,2,1,1,19045,14043
1503852815451883350,sensor data,2,1,1,19059,14049
1503852815471852949,sensor data,2,1,1,19054,14047
1503852815491900405,sensor data,2,1,1,19043,14061
1503852815512603193,sensor data,2,1,1,19069,14047
1503852815531695082,sensor data,2,1,1,19065,14051
1503852815552156035,sensor data,2,1,1,19061,14048
1503852815572248798,sensor data,2,1,1,19051,14052
1503852815592167140,sensor data,2,1,1,19051,14048
1503852815612027790,sensor data,2,1,1,19045,14052
1503852815632248976,sensor data,2,1,1,19059,14068
1503852815652631022,sensor data,2,1,1,19049,14050
1503852815672373897,sensor data,2,1,1,19043,14051
1503852815692705414,sensor data,2,1,1,19049,14048
1503852815712583459,sensor data,2,1,1,19061,14053
1503852815732326994,sensor data,2,1,1,19043,14052
1503852815751983702,sensor data,2,1,1,19049,14044
1503852815772522994,sensor data,2,1,1,19043,14053
1503852815792288900,sensor data,2,1,1,19065,14048
1503852815812044270,sensor data,2,1,1,19049,14049
1503852815832005344,sensor data,2,1,1,19042,14054
1503852815852692995,sensor data,2,1,1,19057,14051
1503852815872550981,sensor data,2,1,1,19060,14053
1503852815892571747,sensor data,2,1,1,19040,14054
1503852815912420639,sensor data,2,1,1,19058,14054
1503852815932354556,sensor data,2,1,1,19065,14047
1503852815951918086,sensor data,2,1,1,19059,14056
1503852815971725457,sensor data,2,1,1,19063,14053
1503852815993172178,sensor data,2,1,1,19039,14057
1503852816012066594,sensor data,2,1,1,19047,14052
1503852816032334717,sensor data,2,1,1,19055,14063
1503852816051959404,sensor data,2,1,1,19056,14050
1503852816071847725,sensor data,2,1,1,19070,14054
1503852816092135152,sensor data,2,1,1,19047,14046
1503852816112233052,sensor data,2,1,1,19045,14054
1503852816132161039,sensor data,2,1,1,19060,14050
1503852816152728340,sensor data,2,1,1,19048,14064
1503852816171668499,sensor data,2,1,1,19052,14051
1503852816191835186,sensor data,2,1,1,19052,14048
1503852816212142897,sensor data,2,1,1,19073,14064
1503852816231985154,sensor data,2,1,1,19053,14052
1503852816251786137,sensor data,2,1,1,19074,14050
1503852816271792143,sensor data,2,1,1,19062,14048
1503852816292471374,sensor data,2,1,1,19057,14041
1503852816312458910,sensor data,2,1,1,19052,14050
1503852816332383765,sensor data,2,1,1,19057,14044
1503852816351959132,sensor data,2,1,1,19073,14050
1503852816371926243,sensor data,2,1,1,19061,14051
1503852816391849220,sensor data,2,1,1,19058,14047
1503852816412131044,sensor data,2,1,1,19058,14048
1503852816432709748,sensor data,2,1,1,19053,14050
1503852816452072994,sensor data,2,1,1,19062,14056
1503852816472694345,sensor data,2,1,1,19053,14043
1503852816493315519,sensor data,2,1,1,19049,14056
1503852816512025469,sensor data,2,1,1,19062,14051
1503852816532533324,sensor data,2,1,1,19067,14049
1503852816552353502,sensor data,2,1,1,19048,14055
1503852816572592523,sensor data,2,1,1,19054,14046
1503852816592677195,sensor data,2,1,1,19052,14054
1503852816612153487,sensor data,2,1,1,19044,14042
1503852816632874415,sensor data,2,1,1,19068,14044
1503852816652402768,sensor data,2,1,1,19051,14051
1503852816671835306,sensor data,2,1,1,19062,14048
1503852816691922037,sensor data,2,1,1,19053,14053
1503852816711919659,sensor data,2,1,1,19036,14052
1503852816731769005,sensor data,2,1,1,19042,14051
1503852816751916487,sensor data,2,1,1,19042,14051
1503852816772622923,sensor data,2,1,1,19066,14051
1503852816792581011,sensor data,2,1,1,19049,14055
1503852816811753337,sensor data,2,1,1,19054,14059
1503852816832348107,sensor data,2,1,1,19037,14053
1503852816853294724,sensor data,2,1,1,19066,14055
1503852816871818001,sensor data,2,1,1,19064,14056
1503852816891791928,sensor data,2,1,1,19046,14053
1503852816911683932,sensor data,2,1,1,19049,14052
1503852816932548646,sensor data,2,1,1,19065,14041
1503852816952143113,sensor data,2,1,1,19056,14052
1503852816971915173,sensor data,2,1,1,19064,14075
1503852816992360620,sensor data,2,1,1,19062,14056
1503852817011652599,sensor data,2,1,1,19045,14045
1503852817031761478,sensor data,2,1,1,19053,14068
1503852817051951714,sensor data,2,1,1,19073,14074
1503852817071934927,sensor data,2,1,1,19049,14072
1503852817092392871,sensor data,2,1,1,19058,14074
1503852817112679870,sensor data,2,1,1,19048,14077
1503852817131892106,sensor data,2,1,1,19056,14051
1503852817152161226,sensor data,2,1,1,19051,14067
1503852817172688490,sensor data,2,1,1,19043,14070
1503852817192516025,sensor data,2,1,1,19043,14074
1503852817211931511,sensor data,2,1,1,19036,14066
1503852817231868628,sensor data,2,1,1,19057,14069
1503852817252605555,sensor data,2,1,1,19046,14070
1503852817271868455,sensor data,2,1,1,19066,14074
1503852817292230334,sensor data,2,1,1,19047,14069
1503852817312398514,sensor data,2,1,1,19044,14049
1503852817331806115,sensor data,2,1,1,19052,14075
1503852817351968719,sensor data,2,1,1,19064,14077
1503852817372301765,sensor data,2,1,1,19061,14074
1503852817392340579,sensor data,2,1,1,19039,14078
1503852817412502023,sensor data,2,1,1,19051,14072
1503852817432095003,sensor data,2,1,1,19048,14072
1503852817452669197,sensor data,2,1,1,19060,14043
1503852817471937403,sensor data,2,1,1,19047,14070
1503852817492392056,sensor data,2,1,1,19056,14046
1503852817512692256,sensor data,2,1,1,19045,14067
1503852817532394438,sensor data,2,1,1,19043,14053
1503852817552070774,sensor data,2,1,1,19050,14050
1503852817571943958,sensor data,2,1,1,19058,14052
1503852817593031456,sensor data,2,1,1,19043,14042
1503852817612206975,sensor data,2,1,1,19064,14048
1503852817631774960,sensor data,2,1,1,19068,14054
1503852817652220982,sensor data,2,1,1,19056,14049
1503852817671765455,sensor data,2,1,1,19048,14046
1503852817693074957,sensor data,2,1,1,19050,14046
1503852817712345243,sensor data,2,1,1,19071,14055
1503852817731754921,sensor data,2,1,1,19047,14048
1503852817751703408,sensor data,2,1,1,19066,14055
1503852817771914105,sensor data,2,1,1,19038,14050
1503852817792047942,sensor data,2,1,1,19057,14048
1503852817812514571,sensor data,2,1,1,19073,14049
1503852817831786097,sensor data,2,1,1,19067,14052
1503852817852646775,sensor data,2,1,1,19049,14048
1503852817872248569,sensor data,2,1,1,19040,14042
1503852817892761268,sensor data,2,1,1,19061,14049
1503852817912343631,sensor data,2,1,1,19054,14043
1503852817931905041,sensor data,2,1,1,19060,14046
1503852817952506513,sensor data,2,1,1,19066,14048
1503852817971885038,sensor data,2,1,1,19054,14051
1503852817992553883,sensor data,2,1,1,19059,14047
1503852818012113083,sensor data,2,1,1,19058,14044
1503852818032476694,sensor data,2,1,1,19063,14048
1503852818052081854,sensor data,2,1,1,19060,14042
1503852818072203756,sensor data,2,1,1,19058,14055
1503852818092542237,sensor data,2,1,1,19064,14053
1503852818112181208,sensor data,2,1,1,19063,14053
1503852818132380920,sensor data,2,1,1,19055,14056
1503852818152624305,sensor data,2,1,1,19057,14047
1503852818171766981,sensor data,2,1,1,19042,14049
1503852818192058052,sensor data,2,1,1,19037,14052
1503852818212145421,sensor data,2,1,1,19045,14051
1503852818232344961,sensor data,2,1,1,19061,14045
1503852818251710434,sensor data,2,1,1,19068,14043
1503852818272394666,sensor data,2,1,1,19047,14040
1503852818292343631,sensor data,2,1,1,19044,14052
1503852818312516315,sensor data,2,1,1,19064,14045
1503852818331998705,sensor data,2,1,1,19056,14049
1503852818352602140,sensor data,2,1,1,19060,14064
1503852818372829868,sensor data,2,1,1,19040,14044
1503852818392552407,sensor data,2,1,1,19054,14046
1503852818412843554,sensor data,2,1,1,19056,14051
1503852818431584514,sensor data,2,1,1,19057,14054
1503852818452307742,sensor data,2,1,1,19040,14050
1503852818472658488,sensor data,2,1,1,19059,14042
1503852818491835736,sensor data,2,1,1,19052,14046
1503852818512044898,sensor data,2,1,1,19053,14051
1503852818532078113,sensor data,2,1,1,19041,14059
1503852818552179399,sensor data,2,1,1,19053,14056
1503852818572013362,sensor data,2,1,1,19053,14046
1503852818592231865,sensor data,2,1,1,19046,14051
1503852818612266666,sensor data,2,1,1,19045,14068
